#AOR	epoch	channel	RAtopL	DECtopL	RAbotL	DECbotL	RAbotR	DEbotR	RAtopR	DECtopR
48	1	2	3.01833085287	1.08646110107	3.87461651406	-0.928444225527	3.29321833033	-1.17233939929	2.43767821063	0.839086685382
48	2	1	3.02339946826	1.17367690217	3.87990746312	-0.843100489342	3.29811139706	-1.08600765136	2.44219099503	0.926317219894
48	2	2	3.07052493085	1.0700148522	3.92622240305	-0.945337479699	3.34469279256	-1.18892957481	2.48989491634	0.823009207915
49	1	1	3.64411511805	1.19053432976	4.49570945063	-0.828499891278	3.91352557017	-1.06960279341	3.06247892871	0.944603407312
49	1	2	3.69104968399	1.08682683667	4.54167079285	-0.930668055375	3.95985075753	-1.1726914319	3.11002644522	0.841167693795
49	2	1	3.6976264135	1.17392376691	4.54754346345	-0.845642279981	3.96437608985	-1.08655300847	3.1157105782	0.928660223643
49	2	2	3.74432033562	1.0701667604	4.59362171894	-0.948593513391	4.01077803591	-1.18945693171	3.16305897658	0.825091127589
50	1	1	4.31907783719	1.19112320647	5.16311653627	-0.831094406491	4.57929005738	-1.07039543288	3.73654568242	0.94730846297
50	1	2	4.36565802561	1.08724286425	5.20886792112	-0.934077399215	4.62527366296	-1.17355026287	3.78356313443	0.843704139903
50	2	1	4.37196787748	1.17447786362	5.21426886753	-0.848273632551	4.63043373701	-1.08668400784	3.78912355093	0.931429375701
50	2	2	4.41834309491	1.07060790221	5.25991823307	-0.951226091527	4.6763241651	-1.18982864661	3.83615569033	0.827722304651
51	1	1	4.99244583987	1.19136377438	5.83054392645	-0.833128943778	5.24624448719	-1.07039415539	4.40906135945	0.94961066882
51	1	2	5.03870062763	1.08718396565	5.8761330811	-0.936367806596	5.2919178961	-1.17388158565	4.45569107589	0.845845549448
51	2	1	5.04518299389	1.17484799986	5.88184340262	-0.849891098944	5.2974942468	-1.08703608022	4.46168291556	0.93337015961
51	2	2	5.09117482339	1.07079663569	5.92739855766	-0.953064274605	5.34328273062	-1.19038709194	4.5082697664	0.829651342639
52	1	1	5.71044599874	1.17417481623	6.555400975	-0.847465050176	5.97186138579	-1.08660000543	5.12796929406	0.930249477104
52	1	2	5.75701927476	1.07040115409	6.60107513398	-0.949852739319	6.01788679644	-1.18988520961	5.17505495201	0.826550594124
52	2	1	5.65857573559	1.1910365888	6.50321622556	-0.830913969047	5.91988865044	-1.07011857294	5.07593415206	0.947066029985
52	2	2	5.70502083089	1.08721308319	6.54906069247	-0.934307552936	5.96596008946	-1.1732264739	5.12299197558	0.84351324567
53	1	1	6.38298395736	1.17453361003	7.22330370893	-0.849050496604	6.63939771459	-1.08684352656	5.80012383523	0.931946532372
